,tweet,polarity  score,subjectivity
0,#Katyayan #COVID19 #Covid_19 #COVID19India #CoronavirusIndia #CoronavirusOutbreak #CoronaVirusUpdates… https://t.co/nlLvQxtEx7,0,0
1,"#IndiaFightsCorona
#COVID19India 
#CoronaUpdatesInIndia
#CoronavirusIndia
Today India had completed the testing of… https://t.co/WhNyWSg6Xo",0,0
2,"Remember physical distancing is very important to fight Corona

@MoHFW_INDIA #IndiaFightsCorona #PhysicalDistancing https://t.co/jpLwr8ZoTM",0.26,0.571428571
3,"#IndiaFightsCorona

Follow distancing norms in all public places to stay protected from #COVID19.

via @MoHFW_INDIA… https://t.co/tdc2eprWNd",0,0.066666667
4,"#CoronaVirusUpdates: 

#COVID19 India Tracker
(As on 15 July, 2020, 08:00 AM)
 Confirmed cases: 936,181
  Active ca… https://t.co/nCTrlItFYn",0.133333333,0.8
5,"The practice of YOGIC asanas aims at overcoming the limitations of the body. 
#IndiaFightsCorona 
#Mpysmumbai… https://t.co/1TuUA7yuNG",0,0
6,"@KiniPushpa The value of that 3% is only known to people who have lost their near and dear ones.! 

#IndiaFightsCorona",0.0625,0.7
7,"ShelarAshish: Distribution of Ayush Kadha to residents of Ward no 101, Kadeshwari Bandra West, which will help them… https://t.co/OQXZT4ctAe",0,0
8,"#IndiaFightsCorona:

20,572 recoveries from #COVID19 in the last 24 hours, as on 15th July, 8 AM. Statewise distrib… https://t.co/8yUkhSjV3A",0,0.066666667
9,"📢#CoronaVirusUpdates:
✅India's #COVID19 recovery rate crosses 63% &amp; improves to 63.24% as on July15,2020
📍Steady im… https://t.co/yBpXRcVvhD",0,0
