,tweet text, polarity score,subjectivity score
0,"Check Out Today News Headlines 15.07.2020...
Watch Here&gt;&gt;https://t.co/4Mmgv96DYb

#hmtv #hmtvnews #Coronavirusoutbreak #Lockdownindia",0,0
1,"Twitter was never my thing, but I am so caught up in other platforms that they have started to bore me.… https://t.co/ohlHsjWGXa",-0.125,0.375
2,"Food safety the utmost priority in our partner restaurants

Get the best food delivered to your house with the best… https://t.co/kbu0v4Ve3j",1,0.3
3,"Hi All, this lockdown introduced me to kitchen and to Chinese web series ...what did lockdown introduced you to ?… https://t.co/bEhrbm3fN3",0,0
4,@CNNnews18 @drharshvardhan @maryashakil Immunity basic for protection against @CovidIndia !Basic requirements nutri… https://t.co/P9bf7V0gGL,0,0.125
5,Our Day 111 of #feedingstrays in #Delhi Life's full and complete with furry love! Please look after stray animals a… https://t.co/to37gnKrQW,0.358333333,0.516666667
6,-animals and birds around you. #animalsarepeopletoo #bekind #onekindact #stayhome #lockdownindia #unlock02 .🙏🙏🙏,0,0
7,"When will this lockdown end 
#COVID19 #lockdown #lockdownindia https://t.co/63jcZceurv",0,0
8,"If #Deewar was filmed in 2020 🙂 
#lockdown #lockdownindia https://t.co/4NmCF6sPHZ",0,0
9,"#कडवासच #Bittertruth 
With due credits to cartoonist sharing as received #lockdownindia https://t.co/qTnPe23hyl",-0.125,0.375
